IMO Number;Type of Vessel;Gross Tonnage;Year of Built;Flag;Port of Registry;INTLREG Class ID;Owner;Representatives;Call Sign;Classification;Areas in which ship is certified;Ship Builders;Place of Built;Hull Material;Net Tonnage;Deadweight;Length (m);Depth (m);Draft (m);Passengers No.;Engine Type/ No of Engines;Number of Shaft
NA;Deck Loading Barge, Non-Propelled;927;JAN 2000;St Kitts & Nevis;Basseterre;05NND001;Blue Ocean Marine Limited;05NND001;N/A;IS;A1+A2;MOODY FABRICATION & MACHINE INC.;USA;Steel;278;10.000;58.520;3.660;2.860;0;  /  0;0
NA;Passenger RO-RO Ferry;2921;OCT 2021;Uganda;Port Bell;21OPP001;Grindrod Logistics Africa;21OPP001;;None Or Unclassed;A1;;Uganda;Steel;0;;96.000;4.600;;0;  /  0;0
9465497;Bulk Carrier;2956;APR 2007;Palau;Malakal Harbor;23UDG005;Usta Shipping Co.;23UDG005;T8A4180;IS;A1+A2+A3;QIYANG BAISHUI SHIPBUILDING CO., LTD.;CHINA;Steel;1872;5834.247;99.560;7.700;6.000;0;--  /  1;1
8921676;General Cargo Ship;5144;JAN 1990;Palau;Malakal Harbor;10IGG011;FAHEL BROTHERS SHIPPING LTD - MONROVIA;10IGG011;T8ZD;IS;A1+A2+A3;HAKATA SHIPBUILDING CO. LTD;Imabari, Ehime, Japan;Steel;2990;8238.730;110.000;10.500;8.160;0;2 stroke  /  1;1
8024856;General Cargo Ship;2198;JAN 1980;Palau;Malakal Harbor;20NDG004;AMIR A MARITIME CO. LTD.;20NDG004;T8A3544;IS;A1+A2;FENER TERSANESI;ISTANBUL;Steel;1409;3789.000;90.270;7.900;6.380;0;2 stroke  /  1;1
9238301;Crew Boat;257;SEP 2000;Nigeria;Lagos ;23SDJ001;Oceansafe Limited;23SDJ001;5NBAL;None Or Unclassed;A1+A2;GULFCRAFT INC.;U.S.A;Aluminium Alloy;77;0.000;44.300;3.600;1.680;0;4 stroke  /  3;0
NA;Fishing Vessel;191.66;JAN 1967;Senegal;Port of Dakar;21UFF020;ARMEMENT CARTON;21UFF020;;Others;;;;Steel;0;;30.710;3.030;;0;  /  0;0
8120038;Anchor handling tug supply;838;JAN 1982;Nigeria;Lagos ;20IEH018;LENIMAR OCEAN TRAWLERS LTD.;20IEH018;5NIZ4;;A1+A2+A3;Hudson Shipbuilders Incorporated;Pascagoula,U.S.A;Steel;251;;56.780;4.570;;0;4 stroke  /  2;2
9164079;Tug;447;OCT 1996;Palau;Malakal Harbor;23OYY001;Safeen Marine 13 Limited;23OYY001;T8A3959;None Or Unclassed;A1+A2;;;;134;380.000;34.900;5.000;4.010;0;  /  0;0
8411047;Anchor handling tug supply;1558;JAN 1985;St Kitts & Nevis;Basseterre;18NEH022;Algarhoud General Trading LLC;18NEH022;V4TP3;IS;A1+A2+A3;Ulstein Hatlo AS - Ulsteinvik;Norway;Steel;467;2100.000;59.490;7.400;6.370;0;4 stroke  /  2;2
7340629;Dredger Hopper;1915;JAN 1973;Bahrain;Bahrain;20ODH003;Al-Namal Contracting & Trading Co WLL;20ODH003;A9D3137;None Or Unclassed;A1+A2;Appledore Shipbuilders Ltd;UK;;574;;;;;0;  /  0;0
NA;Crew Utility/Supply Vessel;39.21;JAN 2012;St Kitts & Nevis;Basseterre;10OEB001;SINGAPORT SHIPPING PTE LTD;10OEB001;V4AH3;None Or Unclassed;A1;;;;0;;;;;0;  /  0;1
9114543;Bulk Carrier;17429;JUL 1995;Palau;Malakal Harbor;23IBA006;Highlands Ventures Co;23IBA006;T8A3884;NK;A1+A2+A3;;;;9829;28458.000;170.000;13.800;9.750;0;  /  0;1
9302011;Chemical/Oil Products Tanker;1207;JAN 2005;St Kitts & Nevis;Basseterre;20ITN255;PANTANETTA CORPORATION;20ITN255;V4JE4;BV;A1+A2;SELAH SHIPYARD;TURKEY;Steel;506;1773.000;73.000;5.100;4.160;0;4 stroke  /  1;1
